wave,trust_stratum,n_cc,spec,from,to,weight,spec_id,gamma_ebic,thresholded,cor_method,in_kg,context_id,network_id,edge_a,edge_b,edge_id,abs_weight,from_domain,to_domain,from_role,to_role
55,low,376,g05,SEVERITY,USE2_MASK,0.0173270098917509,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w55_low,net_g05_w55_low,SEVERITY,USE2_MASK,net_g05_w55_low__SEVERITY__USE2_MASK,0.0173270098917509,belief,behavior,focal_belief,non_focal
55,low,376,g05,AFF_WORRY,USE2_MASK,0.0155628239941265,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w55_low,net_g05_w55_low,AFF_WORRY,USE2_MASK,net_g05_w55_low__AFF_WORRY__USE2_MASK,0.0155628239941265,affect,behavior,non_focal,non_focal
55,low,376,g05,SEVERITY,USE2_AVOID,0.0149954739223753,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w55_low,net_g05_w55_low,SEVERITY,USE2_AVOID,net_g05_w55_low__SEVERITY__USE2_AVOID,0.0149954739223753,belief,behavior,focal_belief,non_focal
55,low,376,g05,SEVERITY,USE2_SPACE150,0.0136813275947072,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w55_low,net_g05_w55_low,SEVERITY,USE2_SPACE150,net_g05_w55_low__SEVERITY__USE2_SPACE150,0.0136813275947072,belief,behavior,focal_belief,non_focal
55,low,376,g05,SEVERITY,USE2_HANDWASH20,0.00463087068002591,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w55_low,net_g05_w55_low,SEVERITY,USE2_HANDWASH20,net_g05_w55_low__SEVERITY__USE2_HANDWASH20,0.00463087068002591,belief,behavior,focal_belief,non_focal
56,high,351,g05,SEVERITY,USE2_AVOID,0.127075033951044,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w56_high,net_g05_w56_high,SEVERITY,USE2_AVOID,net_g05_w56_high__SEVERITY__USE2_AVOID,0.127075033951044,belief,behavior,focal_belief,non_focal
56,high,351,g05,SEVERITY,USE2_HANDWASH20,0.10326597434691,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w56_high,net_g05_w56_high,SEVERITY,USE2_HANDWASH20,net_g05_w56_high__SEVERITY__USE2_HANDWASH20,0.10326597434691,belief,behavior,focal_belief,non_focal
56,high,351,g05,USE2_AVOID,WORRY_HEALTH_SYSTEM,0.0938326692675476,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w56_high,net_g05_w56_high,USE2_AVOID,WORRY_HEALTH_SYSTEM,net_g05_w56_high__USE2_AVOID__WORRY_HEALTH_SYSTEM,0.0938326692675476,behavior,affect,non_focal,non_focal
56,high,351,g05,USE2_HANDWASH20,WORRY_HEALTH_SYSTEM,0.0766582332275105,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w56_high,net_g05_w56_high,USE2_HANDWASH20,WORRY_HEALTH_SYSTEM,net_g05_w56_high__USE2_HANDWASH20__WORRY_HEALTH_SYSTEM,0.0766582332275105,behavior,affect,non_focal,non_focal
56,high,351,g05,USE2_MASK,WORRY_HEALTH_SYSTEM,0.0741027436432377,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w56_high,net_g05_w56_high,USE2_MASK,WORRY_HEALTH_SYSTEM,net_g05_w56_high__USE2_MASK__WORRY_HEALTH_SYSTEM,0.0741027436432377,behavior,affect,non_focal,non_focal
56,high,351,g05,AFF_WORRY,USE2_AVOID,0.0685615943391421,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w56_high,net_g05_w56_high,AFF_WORRY,USE2_AVOID,net_g05_w56_high__AFF_WORRY__USE2_AVOID,0.0685615943391421,affect,behavior,non_focal,non_focal
56,high,351,g05,SEVERITY,USE2_SPACE150,0.0654778352644396,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w56_high,net_g05_w56_high,SEVERITY,USE2_SPACE150,net_g05_w56_high__SEVERITY__USE2_SPACE150,0.0654778352644396,belief,behavior,focal_belief,non_focal
56,high,351,g05,AFF_FEAR,USE2_AVOID,0.0470292017152531,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w56_high,net_g05_w56_high,AFF_FEAR,USE2_AVOID,net_g05_w56_high__AFF_FEAR__USE2_AVOID,0.0470292017152531,affect,behavior,non_focal,non_focal
56,high,351,g05,USE2_SPACE150,WORRY_HEALTH_SYSTEM,0.0367245428871753,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w56_high,net_g05_w56_high,USE2_SPACE150,WORRY_HEALTH_SYSTEM,net_g05_w56_high__USE2_SPACE150__WORRY_HEALTH_SYSTEM,0.0367245428871753,behavior,affect,non_focal,non_focal
56,high,351,g05,AFF_FEAR,USE2_SPACE150,0.0112771293148659,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w56_high,net_g05_w56_high,AFF_FEAR,USE2_SPACE150,net_g05_w56_high__AFF_FEAR__USE2_SPACE150,0.0112771293148659,affect,behavior,non_focal,non_focal
56,low,383,g05,SEVERITY,USE2_AVOID,0.14666766730118,gamma_05,0.5,FALSE,pearson,TRUE,ctx_w56_low,net_g05_w56_low,SEVERITY,USE2_AVOID,net_g05_w56_low__SEVERITY__USE2_AVOID,0.14666766730118,belief,behavior,focal_belief,non_focal
